drug,drug_class,nutrient,interaction_type,confidence,mechanism
prednisolone,Oral Corticosteroid,Iron,REDISTRIBUTES,THEORETICAL,"Corticosteroids may increase hepcidin via IL-6 modulation, sequestering iron in macrophages (functional iron deficiency pattern)"
prednisolone,Oral Corticosteroid,Vitamin A,INCREASES_DEMAND,THEORETICAL,Immune modulation by corticosteroids may alter retinoid signaling; wound healing impairment partly related to vitamin A pathway disruption
prednisolone,Oral Corticosteroid,Vitamin K,NO_KNOWN,ESTABLISHED,No significant direct interaction with vitamin K metabolism
methylprednisolone,Oral Corticosteroid,Calcium,DEPLETES,ESTABLISHED,"Corticosteroids reduce intestinal Ca²⁺ absorption (downregulate TRPV6, calbindin-D9k, CaBP-28k), increase renal Ca²⁺ excretion, and stimulate osteoclast-mediated bone resorption → hypercalciuria"
methylprednisolone,Oral Corticosteroid,Vitamin D,INCREASES_DEMAND,ESTABLISHED,"Corticosteroids accelerate CYP24A1-mediated 24-hydroxylation (inactivation) of 25(OH)D and 1,25(OH)₂D; also reduce VDR expression, creating functional vitamin D resistance"
methylprednisolone,Oral Corticosteroid,Potassium,DEPLETES,ESTABLISHED,Mineralocorticoid activity increases renal K⁺ secretion via ENaC/ROMK in collecting duct; hypokalemia is a recognized adverse effect
methylprednisolone,Oral Corticosteroid,Magnesium,DEPLETES,PROBABLE,Increased renal Mg²⁺ wasting via reduced TRPM6 expression in distal convoluted tubule; also redistribution into cells
methylprednisolone,Oral Corticosteroid,Zinc,DEPLETES,PROBABLE,Corticosteroids increase urinary zinc excretion; metallothionein induction may sequester Zn²⁺ intracellularly; zinc needed for immune function already stressed by corticosteroid use
methylprednisolone,Oral Corticosteroid,Vitamin C,DEPLETES,PROBABLE,Corticosteroids increase oxidative stress and ascorbate consumption; adrenal glands have highest vitamin C concentration and steroids increase ascorbate utilization in cortisol synthesis pathways
methylprednisolone,Oral Corticosteroid,Vitamin B6,INCREASES_DEMAND,PROBABLE,"Corticosteroids increase tryptophan catabolism via kynurenine pathway (IDO1/TDO2 induction), which consumes PLP (B6) as cofactor; may cause functional B6 deficiency"
methylprednisolone,Oral Corticosteroid,Chromium,DEPLETES,PROBABLE,Corticosteroid-induced insulin resistance increases chromium excretion; hyperglycemia drives urinary Cr loss
methylprednisolone,Oral Corticosteroid,Sodium,REDISTRIBUTES,ESTABLISHED,Mineralocorticoid effect increases renal Na⁺ reabsorption; fluid retention and edema; sodium accumulates rather than depletes
methylprednisolone,Oral Corticosteroid,Selenium,INCREASES_DEMAND,THEORETICAL,"Oxidative stress from corticosteroid use increases demand for selenoprotein-dependent antioxidant defense (GPx, TrxR)"
methylprednisolone,Oral Corticosteroid,Phosphorus,DEPLETES,PROBABLE,Corticosteroids reduce renal phosphate reabsorption (NaPi-IIa/IIc); combined with vitamin D impairment reduces phosphorus homeostasis
methylprednisolone,Oral Corticosteroid,Folate (B9),INCREASES_DEMAND,THEORETICAL,Increased cell turnover and immune modulation may increase folate demand for one-carbon metabolism
methylprednisolone,Oral Corticosteroid,Iron,REDISTRIBUTES,THEORETICAL,"Corticosteroids may increase hepcidin via IL-6 modulation, sequestering iron in macrophages (functional iron deficiency pattern)"
methylprednisolone,Oral Corticosteroid,Vitamin A,INCREASES_DEMAND,THEORETICAL,Immune modulation by corticosteroids may alter retinoid signaling; wound healing impairment partly related to vitamin A pathway disruption
methylprednisolone,Oral Corticosteroid,Vitamin K,NO_KNOWN,ESTABLISHED,No significant direct interaction with vitamin K metabolism
dexamethasone,Oral Corticosteroid,Calcium,DEPLETES,ESTABLISHED,"Corticosteroids reduce intestinal Ca²⁺ absorption (downregulate TRPV6, calbindin-D9k, CaBP-28k), increase renal Ca²⁺ excretion, and stimulate osteoclast-mediated bone resorption → hypercalciuria"
dexamethasone,Oral Corticosteroid,Vitamin D,INCREASES_DEMAND,ESTABLISHED,"Corticosteroids accelerate CYP24A1-mediated 24-hydroxylation (inactivation) of 25(OH)D and 1,25(OH)₂D; also reduce VDR expression, creating functional vitamin D resistance"
dexamethasone,Oral Corticosteroid,Potassium,DEPLETES,ESTABLISHED,Mineralocorticoid activity increases renal K⁺ secretion via ENaC/ROMK in collecting duct; hypokalemia is a recognized adverse effect
dexamethasone,Oral Corticosteroid,Magnesium,DEPLETES,PROBABLE,Increased renal Mg²⁺ wasting via reduced TRPM6 expression in distal convoluted tubule; also redistribution into cells
dexamethasone,Oral Corticosteroid,Zinc,DEPLETES,PROBABLE,Corticosteroids increase urinary zinc excretion; metallothionein induction may sequester Zn²⁺ intracellularly; zinc needed for immune function already stressed by corticosteroid use
dexamethasone,Oral Corticosteroid,Vitamin C,DEPLETES,PROBABLE,Corticosteroids increase oxidative stress and ascorbate consumption; adrenal glands have highest vitamin C concentration and steroids increase ascorbate utilization in cortisol synthesis pathways
dexamethasone,Oral Corticosteroid,Vitamin B6,INCREASES_DEMAND,PROBABLE,"Corticosteroids increase tryptophan catabolism via kynurenine pathway (IDO1/TDO2 induction), which consumes PLP (B6) as cofactor; may cause functional B6 deficiency"
dexamethasone,Oral Corticosteroid,Chromium,DEPLETES,PROBABLE,Corticosteroid-induced insulin resistance increases chromium excretion; hyperglycemia drives urinary Cr loss
dexamethasone,Oral Corticosteroid,Sodium,REDISTRIBUTES,ESTABLISHED,Mineralocorticoid effect increases renal Na⁺ reabsorption; fluid retention and edema; sodium accumulates rather than depletes
dexamethasone,Oral Corticosteroid,Selenium,INCREASES_DEMAND,THEORETICAL,"Oxidative stress from corticosteroid use increases demand for selenoprotein-dependent antioxidant defense (GPx, TrxR)"
dexamethasone,Oral Corticosteroid,Phosphorus,DEPLETES,PROBABLE,Corticosteroids reduce renal phosphate reabsorption (NaPi-IIa/IIc); combined with vitamin D impairment reduces phosphorus homeostasis
dexamethasone,Oral Corticosteroid,Folate (B9),INCREASES_DEMAND,THEORETICAL,Increased cell turnover and immune modulation may increase folate demand for one-carbon metabolism
dexamethasone,Oral Corticosteroid,Iron,REDISTRIBUTES,THEORETICAL,"Corticosteroids may increase hepcidin via IL-6 modulation, sequestering iron in macrophages (functional iron deficiency pattern)"
dexamethasone,Oral Corticosteroid,Vitamin A,INCREASES_DEMAND,THEORETICAL,Immune modulation by corticosteroids may alter retinoid signaling; wound healing impairment partly related to vitamin A pathway disruption
dexamethasone,Oral Corticosteroid,Vitamin K,NO_KNOWN,ESTABLISHED,No significant direct interaction with vitamin K metabolism
fluticasone,Intranasal Corticosteroid,Calcium,DEPLETES,THEORETICAL,"Systemic bioavailability is low (fluticasone <2%, mometasone <0.1%), but chronic use may have subtle effects on calcium metabolism; high-dose intranasal use shows measurable HPA suppression in some studies"
fluticasone,Intranasal Corticosteroid,Vitamin D,INCREASES_DEMAND,THEORETICAL,Minimal systemic exposure but theoretical CYP24A1 induction; clinically significant only at high doses or with concurrent oral steroids
fluticasone,Intranasal Corticosteroid,Magnesium,NO_KNOWN,ESTABLISHED,Intranasal corticosteroids have minimal systemic bioavailability; no clinically significant effect on this nutrient at standard doses
fluticasone,Intranasal Corticosteroid,Zinc,NO_KNOWN,ESTABLISHED,Intranasal corticosteroids have minimal systemic bioavailability; no clinically significant effect on this nutrient at standard doses
fluticasone,Intranasal Corticosteroid,Iron,NO_KNOWN,ESTABLISHED,Intranasal corticosteroids have minimal systemic bioavailability; no clinically significant effect on this nutrient at standard doses
fluticasone,Intranasal Corticosteroid,Potassium,NO_KNOWN,ESTABLISHED,Intranasal corticosteroids have minimal systemic bioavailability; no clinically significant effect on this nutrient at standard doses
fluticasone,Intranasal Corticosteroid,Vitamin B12,NO_KNOWN,ESTABLISHED,Intranasal corticosteroids have minimal systemic bioavailability; no clinically significant effect on this nutrient at standard doses
fluticasone,Intranasal Corticosteroid,Folate (B9),NO_KNOWN,ESTABLISHED,Intranasal corticosteroids have minimal systemic bioavailability; no clinically significant effect on this nutrient at standard doses
fluticasone,Intranasal Corticosteroid,Vitamin B6,NO_KNOWN,ESTABLISHED,Intranasal corticosteroids have minimal systemic bioavailability; no clinically significant effect on this nutrient at standard doses
fluticasone,Intranasal Corticosteroid,Vitamin C,NO_KNOWN,ESTABLISHED,Intranasal corticosteroids have minimal systemic bioavailability; no clinically significant effect on this nutrient at standard doses
fluticasone,Intranasal Corticosteroid,Vitamin A,NO_KNOWN,ESTABLISHED,Intranasal corticosteroids have minimal systemic bioavailability; no clinically significant effect on this nutrient at standard doses
fluticasone,Intranasal Corticosteroid,Vitamin K,NO_KNOWN,ESTABLISHED,Intranasal corticosteroids have minimal systemic bioavailability; no clinically significant effect on this nutrient at standard doses
fluticasone,Intranasal Corticosteroid,Chromium,NO_KNOWN,ESTABLISHED,Intranasal corticosteroids have minimal systemic bioavailability; no clinically significant effect on this nutrient at standard doses
fluticasone,Intranasal Corticosteroid,Selenium,NO_KNOWN,ESTABLISHED,Intranasal corticosteroids have minimal systemic bioavailability; no clinically significant effect on this nutrient at standard doses
fluticasone,Intranasal Corticosteroid,Phosphorus,NO_KNOWN,ESTABLISHED,Intranasal corticosteroids have minimal systemic bioavailability; no clinically significant effect on this nutrient at standard doses
fluticasone,Intranasal Corticosteroid,Sodium,NO_KNOWN,ESTABLISHED,Intranasal corticosteroids have minimal systemic bioavailability; no clinically significant effect on this nutrient at standard doses
mometasone,Intranasal Corticosteroid,Calcium,DEPLETES,THEORETICAL,"Systemic bioavailability is low (fluticasone <2%, mometasone <0.1%), but chronic use may have subtle effects on calcium metabolism; high-dose intranasal use shows measurable HPA suppression in some studies"
mometasone,Intranasal Corticosteroid,Vitamin D,INCREASES_DEMAND,THEORETICAL,Minimal systemic exposure but theoretical CYP24A1 induction; clinically significant only at high doses or with concurrent oral steroids
mometasone,Intranasal Corticosteroid,Magnesium,NO_KNOWN,ESTABLISHED,Intranasal corticosteroids have minimal systemic bioavailability; no clinically significant effect on this nutrient at standard doses
mometasone,Intranasal Corticosteroid,Zinc,NO_KNOWN,ESTABLISHED,Intranasal corticosteroids have minimal systemic bioavailability; no clinically significant effect on this nutrient at standard doses
mometasone,Intranasal Corticosteroid,Iron,NO_KNOWN,ESTABLISHED,Intranasal corticosteroids have minimal systemic bioavailability; no clinically significant effect on this nutrient at standard doses
mometasone,Intranasal Corticosteroid,Potassium,NO_KNOWN,ESTABLISHED,Intranasal corticosteroids have minimal systemic bioavailability; no clinically significant effect on this nutrient at standard doses
mometasone,Intranasal Corticosteroid,Vitamin B12,NO_KNOWN,ESTABLISHED,Intranasal corticosteroids have minimal systemic bioavailability; no clinically significant effect on this nutrient at standard doses
mometasone,Intranasal Corticosteroid,Folate (B9),NO_KNOWN,ESTABLISHED,Intranasal corticosteroids have minimal systemic bioavailability; no clinically significant effect on this nutrient at standard doses
mometasone,Intranasal Corticosteroid,Vitamin B6,NO_KNOWN,ESTABLISHED,Intranasal corticosteroids have minimal systemic bioavailability; no clinically significant effect on this nutrient at standard doses
mometasone,Intranasal Corticosteroid,Vitamin C,NO_KNOWN,ESTABLISHED,Intranasal corticosteroids have minimal systemic bioavailability; no clinically significant effect on this nutrient at standard doses
mometasone,Intranasal Corticosteroid,Vitamin A,NO_KNOWN,ESTABLISHED,Intranasal corticosteroids have minimal systemic bioavailability; no clinically significant effect on this nutrient at standard doses
mometasone,Intranasal Corticosteroid,Vitamin K,NO_KNOWN,ESTABLISHED,Intranasal corticosteroids have minimal systemic bioavailability; no clinically significant effect on this nutrient at standard doses
mometasone,Intranasal Corticosteroid,Chromium,NO_KNOWN,ESTABLISHED,Intranasal corticosteroids have minimal systemic bioavailability; no clinically significant effect on this nutrient at standard doses
mometasone,Intranasal Corticosteroid,Selenium,NO_KNOWN,ESTABLISHED,Intranasal corticosteroids have minimal systemic bioavailability; no clinically significant effect on this nutrient at standard doses
mometasone,Intranasal Corticosteroid,Phosphorus,NO_KNOWN,ESTABLISHED,Intranasal corticosteroids have minimal systemic bioavailability; no clinically significant effect on this nutrient at standard doses
mometasone,Intranasal Corticosteroid,Sodium,NO_KNOWN,ESTABLISHED,Intranasal corticosteroids have minimal systemic bioavailability; no clinically significant effect on this nutrient at standard doses
budesonide,Intranasal Corticosteroid,Calcium,DEPLETES,THEORETICAL,"Systemic bioavailability is low (fluticasone <2%, mometasone <0.1%), but chronic use may have subtle effects on calcium metabolism; high-dose intranasal use shows measurable HPA suppression in some studies"
budesonide,Intranasal Corticosteroid,Vitamin D,INCREASES_DEMAND,THEORETICAL,Minimal systemic exposure but theoretical CYP24A1 induction; clinically significant only at high doses or with concurrent oral steroids
budesonide,Intranasal Corticosteroid,Magnesium,NO_KNOWN,ESTABLISHED,Intranasal corticosteroids have minimal systemic bioavailability; no clinically significant effect on this nutrient at standard doses
budesonide,Intranasal Corticosteroid,Zinc,NO_KNOWN,ESTABLISHED,Intranasal corticosteroids have minimal systemic bioavailability; no clinically significant effect on this nutrient at standard doses
budesonide,Intranasal Corticosteroid,Iron,NO_KNOWN,ESTABLISHED,Intranasal corticosteroids have minimal systemic bioavailability; no clinically significant effect on this nutrient at standard doses
budesonide,Intranasal Corticosteroid,Potassium,NO_KNOWN,ESTABLISHED,Intranasal corticosteroids have minimal systemic bioavailability; no clinically significant effect on this nutrient at standard doses
budesonide,Intranasal Corticosteroid,Vitamin B12,NO_KNOWN,ESTABLISHED,Intranasal corticosteroids have minimal systemic bioavailability; no clinically significant effect on this nutrient at standard doses
budesonide,Intranasal Corticosteroid,Folate (B9),NO_KNOWN,ESTABLISHED,Intranasal corticosteroids have minimal systemic bioavailability; no clinically significant effect on this nutrient at standard doses
budesonide,Intranasal Corticosteroid,Vitamin B6,NO_KNOWN,ESTABLISHED,Intranasal corticosteroids have minimal systemic bioavailability; no clinically significant effect on this nutrient at standard doses
budesonide,Intranasal Corticosteroid,Vitamin C,NO_KNOWN,ESTABLISHED,Intranasal corticosteroids have minimal systemic bioavailability; no clinically significant effect on this nutrient at standard doses
budesonide,Intranasal Corticosteroid,Vitamin A,NO_KNOWN,ESTABLISHED,Intranasal corticosteroids have minimal systemic bioavailability; no clinically significant effect on this nutrient at standard doses
budesonide,Intranasal Corticosteroid,Vitamin K,NO_KNOWN,ESTABLISHED,Intranasal corticosteroids have minimal systemic bioavailability; no clinically significant effect on this nutrient at standard doses
budesonide,Intranasal Corticosteroid,Chromium,NO_KNOWN,ESTABLISHED,Intranasal corticosteroids have minimal systemic bioavailability; no clinically significant effect on this nutrient at standard doses
budesonide,Intranasal Corticosteroid,Selenium,NO_KNOWN,ESTABLISHED,Intranasal corticosteroids have minimal systemic bioavailability; no clinically significant effect on this nutrient at standard doses
budesonide,Intranasal Corticosteroid,Phosphorus,NO_KNOWN,ESTABLISHED,Intranasal corticosteroids have minimal systemic bioavailability; no clinically significant effect on this nutrient at standard doses
budesonide,Intranasal Corticosteroid,Sodium,NO_KNOWN,ESTABLISHED,Intranasal corticosteroids have minimal systemic bioavailability; no clinically significant effect on this nutrient at standard doses
triamcinolone,Intranasal Corticosteroid,Calcium,DEPLETES,THEORETICAL,"Systemic bioavailability is low (fluticasone <2%, mometasone <0.1%), but chronic use may have subtle effects on calcium metabolism; high-dose intranasal use shows measurable HPA suppression in some studies"
triamcinolone,Intranasal Corticosteroid,Vitamin D,INCREASES_DEMAND,THEORETICAL,Minimal systemic exposure but theoretical CYP24A1 induction; clinically significant only at high doses or with concurrent oral steroids
triamcinolone,Intranasal Corticosteroid,Magnesium,NO_KNOWN,ESTABLISHED,Intranasal corticosteroids have minimal systemic bioavailability; no clinically significant effect on this nutrient at standard doses
triamcinolone,Intranasal Corticosteroid,Zinc,NO_KNOWN,ESTABLISHED,Intranasal corticosteroids have minimal systemic bioavailability; no clinically significant effect on this nutrient at standard doses
triamcinolone,Intranasal Corticosteroid,Iron,NO_KNOWN,ESTABLISHED,Intranasal corticosteroids have minimal systemic bioavailability; no clinically significant effect on this nutrient at standard doses
triamcinolone,Intranasal Corticosteroid,Potassium,NO_KNOWN,ESTABLISHED,Intranasal corticosteroids have minimal systemic bioavailability; no clinically significant effect on this nutrient at standard doses
triamcinolone,Intranasal Corticosteroid,Vitamin B12,NO_KNOWN,ESTABLISHED,Intranasal corticosteroids have minimal systemic bioavailability; no clinically significant effect on this nutrient at standard doses
triamcinolone,Intranasal Corticosteroid,Folate (B9),NO_KNOWN,ESTABLISHED,Intranasal corticosteroids have minimal systemic bioavailability; no clinically significant effect on this nutrient at standard doses
triamcinolone,Intranasal Corticosteroid,Vitamin B6,NO_KNOWN,ESTABLISHED,Intranasal corticosteroids have minimal systemic bioavailability; no clinically significant effect on this nutrient at standard doses
triamcinolone,Intranasal Corticosteroid,Vitamin C,NO_KNOWN,ESTABLISHED,Intranasal corticosteroids have minimal systemic bioavailability; no clinically significant effect on this nutrient at standard doses
triamcinolone,Intranasal Corticosteroid,Vitamin A,NO_KNOWN,ESTABLISHED,Intranasal corticosteroids have minimal systemic bioavailability; no clinically significant effect on this nutrient at standard doses
triamcinolone,Intranasal Corticosteroid,Vitamin K,NO_KNOWN,ESTABLISHED,Intranasal corticosteroids have minimal systemic bioavailability; no clinically significant effect on this nutrient at standard doses
triamcinolone,Intranasal Corticosteroid,Chromium,NO_KNOWN,ESTABLISHED,Intranasal corticosteroids have minimal systemic bioavailability; no clinically significant effect on this nutrient at standard doses
